Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
7183-XY-1.filtered	51.45593477891855	43390535								
7183-XY-1_S1_L005_R1_001			4.199964705052775	54.65065799601064	49.0	151.0	36.36363636363637	83078736.0		
7183-XY-1_S1_L005_R1_001_val_1									90.8	75326972.0
7183-XY-1_S1_L005_R2_001			4.217132660677185	55.31204374677223	50.0	151.0	36.36363636363637	83078736.0		
7183-XY-2.filtered	51.00103528822778	37488872								
7183-XY-2_S1_L005_R1_001			4.413008723540559	52.809741232714146	49.0	151.0	27.27272727272727	72411805.0		
7183-XY-2_S1_L005_R1_001_val_1									90.41	65327640.0
7183-XY-2_S1_L005_R2_001			4.387331916098597	52.605738780062424	50.0	151.0	36.36363636363637	72411805.0		
7183-XY-3.filtered	40.984272008611946	33429535								
7183-XY-3_S1_L005_R1_001			4.454682694436377	45.013695995207435	49.0	151.0	18.181818181818183	79525334.0		
7183-XY-3_S1_L005_R1_001_val_1									91.49	72619041.0
7183-XY-3_S1_L005_R2_001			4.443490392833736	45.211212778433186	49.0	151.0	27.27272727272727	79525334.0		
7183-XY-4.filtered	41.14089271769032	35157618								
7183-XY-4_S1_L005_R1_001			5.1373669243439695	46.540839364471765	49.0	151.0	18.181818181818183	83354708.0		
7183-XY-4_S1_L005_R1_001_val_1									91.57	76204761.0
7183-XY-4_S1_L005_R2_001			5.147483992932504	45.756754116215205	49.0	151.0	27.27272727272727	83354708.0		
