Module	Section	Sample Name	Source
featureCounts	all_sections	7183-XY-1.filtered	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/BJABs_LANA_RNA_count.txt.summary
featureCounts	all_sections	7183-XY-2.filtered	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/BJABs_LANA_RNA_count.txt.summary
featureCounts	all_sections	7183-XY-3.filtered	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/BJABs_LANA_RNA_count.txt.summary
featureCounts	all_sections	7183-XY-4.filtered	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/BJABs_LANA_RNA_count.txt.summary
STAR	SummaryLog	7183-XY-4_S1_L005_R1_001_val_1	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/aligned/7183-XY-4_S1_L005_R1_001_val_1.fq.gzLog.final.out
STAR	SummaryLog	7183-XY-3_S1_L005_R1_001_val_1	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/aligned/7183-XY-3_S1_L005_R1_001_val_1.fq.gzLog.final.out
STAR	SummaryLog	7183-XY-2_S1_L005_R1_001_val_1	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/aligned/7183-XY-2_S1_L005_R1_001_val_1.fq.gzLog.final.out
STAR	SummaryLog	7183-XY-1_S1_L005_R1_001_val_1	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/aligned/7183-XY-1_S1_L005_R1_001_val_1.fq.gzLog.final.out
Cutadapt	all_sections	7183-XY-2_S1_L005_R2_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/trimmed_OG/7183-XY-2_S1_L005_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	7183-XY-3_S1_L005_R2_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/trimmed_OG/7183-XY-3_S1_L005_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	7183-XY-1_S1_L005_R1_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/trimmed_OG/7183-XY-1_S1_L005_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	7183-XY-4_S1_L005_R1_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/trimmed_OG/7183-XY-4_S1_L005_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	7183-XY-1_S1_L005_R2_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/trimmed_OG/7183-XY-1_S1_L005_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	7183-XY-4_S1_L005_R2_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/trimmed_OG/7183-XY-4_S1_L005_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	7183-XY-3_S1_L005_R1_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/trimmed_OG/7183-XY-3_S1_L005_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	7183-XY-2_S1_L005_R1_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/trimmed_OG/7183-XY-2_S1_L005_R1_001.fastq.gz_trimming_report.txt
FastQC	all_sections	7183-XY-4_S1_L005_R1_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/fastqc_out/7183-XY-4_S1_L005_R1_001_fastqc.zip
FastQC	all_sections	7183-XY-2_S1_L005_R1_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/fastqc_out/7183-XY-2_S1_L005_R1_001_fastqc.zip
FastQC	all_sections	7183-XY-2_S1_L005_R2_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/fastqc_out/7183-XY-2_S1_L005_R2_001_fastqc.zip
FastQC	all_sections	7183-XY-3_S1_L005_R1_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/fastqc_out/7183-XY-3_S1_L005_R1_001_fastqc.zip
FastQC	all_sections	7183-XY-1_S1_L005_R2_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/fastqc_out/7183-XY-1_S1_L005_R2_001_fastqc.zip
FastQC	all_sections	7183-XY-1_S1_L005_R1_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/fastqc_out/7183-XY-1_S1_L005_R1_001_fastqc.zip
FastQC	all_sections	7183-XY-4_S1_L005_R2_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/fastqc_out/7183-XY-4_S1_L005_R2_001_fastqc.zip
FastQC	all_sections	7183-XY-3_S1_L005_R2_001	/home/xiang/DNA_seq/BJAB_LANA_RNAseq/fastqc_out/7183-XY-3_S1_L005_R2_001_fastqc.zip
